id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
6-36I,m3-P5-P5-m3-M7-M7,"3 7 7 3 11 11",6-36,6-36,false,,6-23,12,true,84,11
6-37,m2-m2-M6-P4-M7-m3,"1 1 9 5 11 3",6-37I,6-20I,false,,6-16,24,false,60,11
6-37I,m2-M6-M7-M7-m3-P5,"1 9 11 11 3 7",6-37,6-20,false,,6-16,24,false,84,11
6-38,m2-m2-M6-m7-m2-m6,"1 1 9 10 1 8",6-38I,6-29I,false,,6-21,24,false,60,11
6-38I,M2-M7-M3-M7-M7-m3,"2 11 4 11 11 3",6-38,6-29,false,,6-21,24,false,84,11
6-39,m2-m2-M6-m7-P5-M2,"1 1 9 10 7 2",6-39I,6-12I,false,,6-10,24,false,60,11
6-39I,M2-P4-m7-M7-M7-m3,"2 5 10 11 11 3",6-39,6-12,false,,6-10,24,false,84,11
6-40,m2-m2-M6-M7-P4-m3,"1 1 9 11 5 3",6-40I,6-17I,false,,6-14,24,false,60,11
6-40I,m2-P5-M6-M7-M7-m3,"1 7 9 11 11 3",6-40,6-17,false,,6-14,24,false,84,11
6-41,m2-M2-m2-M3-m3-P5,"1 2 1 4 3 7",6-41I,6-42I,false,,6-24,24,false,36,11
6-41I,P4-M7-m7-M7-m6-M6,"5 11 10 11 8 9",6-41,6-42,false,,6-24,24,false,108,11
6-42,m2-M2-m2-P5-m3-M3,"1 2 1 7 3 4",6-42I,6-41I,false,,6-24,24,false,36,11
6-42I,P4-M6-m6-M7-m7-M7,"5 9 8 11 10 11",6-42,6-41,false,,6-24,24,false,108,11
6-43,m2-M2-m2-P5-M6-m7,"1 2 1 7 9 10",6-43I,6-44I,false,,6-25,24,false,60,11
6-43I,M2-M7-m7-M7-P4-m3,"2 11 10 11 5 3",6-43,6-44,false,,6-25,24,false,84,11
6-44,m2-M2-m2-m7-M6-P5,"1 2 1 10 9 7",6-44I,6-43I,false,,6-25,24,false,60,11
6-44I,M2-m3-P4-M7-m7-M7,"2 3 5 11 10 11",6-44,6-43,false,,6-25,24,false,84,11
6-45,m2-M2-M2-m3-M2-m6,"1 2 2 3 2 8",6-45I,6-174I,false,,6-26,24,false,36,11
6-45I,M3-M7-m7-m7-M6-m7,"4 11 10 10 9 10",6-45,6-174,false,,6-26,24,false,108,11
6-46,m2-M2-M2-m3-m6-M2,"1 2 2 3 8 2",6-46I,6-65I,false,,6-27,24,false,36,11
6-46I,M3-m7-M7-m7-m7-M6,"4 10 11 10 10 9",6-46,6-65,false,,6-27,24,false,108,11
6-47,m2-M2-M2-P4-M3-M3,"1 2 2 5 4 4",6-47I,6-119I,false,,6-28,24,false,36,11
